park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
long-bluff-property,49,Long Bluff Property,long-bluff-property,,,254.00,,,SC,34.514165,-79.839419,polygon_centroid,true,https://southcarolinaparks.com/park/long-bluff-property,,,,,South Carolina state park. About 254 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
mccalla-state-park,32,McCalla State Park,mccalla-state-park,,,6005.00,,,SC,34.140957,-82.667967,polygon_centroid,true,https://southcarolinaparks.com/park/mccalla-state-park,,,,,South Carolina state park. About 6005 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
mountain-bridge-wilderness-area,33,Mountain Bridge Wilderness Area,mountain-bridge-wilderness-area,,,10901.00,,,SC,35.108102,-82.613647,polygon_centroid,true,https://southcarolinaparks.com/park/mountain-bridge-wilderness-area,,,,,South Carolina state park. About 10901 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
musgrove-mill-historic-site,34,Musgrove Mill Historic Site,musgrove-mill-historic-site,,,397.00,,,SC,34.595502,-81.852937,polygon_centroid,true,https://southcarolinaparks.com/park/musgrove-mill-historic-site,,,,,South Carolina state park. About 397 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
myrtle-beach-state-park,35,Myrtle Beach State Park,myrtle-beach-state-park,,,330.00,,,SC,33.652975,-78.931548,polygon_centroid,true,https://southcarolinaparks.com/park/myrtle-beach-state-park,,,,,South Carolina state park. About 330 acres. Access: public.,,,Willet | Whitebanded Fishing Spider | Least Tern | Bonaparte's Gull, |  |  | ,public,SCDNR South Carolina State Parks,2026-06-29
oconee-state-park,36,Oconee State Park,oconee-state-park,,,1122.00,,,SC,34.871905,-83.105960,polygon_centroid,true,https://southcarolinaparks.com/park/oconee-state-park,,,,,South Carolina state park. About 1122 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
oconee-station-state-historic-site,37,Oconee Station State Historic Site,oconee-station-state-historic-site,,,264.00,,,SC,34.847398,-83.076022,polygon_centroid,true,https://southcarolinaparks.com/park/oconee-station-state-historic-site,,,,,South Carolina state park. About 264 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
paris-mountain-state-park,38,Paris Mountain State Park,paris-mountain-state-park,,,1699.00,,,SC,34.939782,-82.390508,polygon_centroid,true,https://southcarolinaparks.com/park/paris-mountain-state-park,,,,,South Carolina state park. About 1699 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
poinsett-state-park,39,Poinsett State Park,poinsett-state-park,,,1001.00,,,SC,33.803797,-80.537592,polygon_centroid,true,https://southcarolinaparks.com/park/poinsett-state-park,,,,,South Carolina state park. About 1001 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
redcliffe-state-historic-site,40,Redcliffe State Historic Site,redcliffe-state-historic-site,,,371.00,,,SC,33.420454,-81.870501,polygon_centroid,true,https://southcarolinaparks.com/park/redcliffe-state-historic-site,,,,,South Carolina state park. About 371 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
rivers-bridge-state-historic-site,41,Rivers Bridge State Historic Site,rivers-bridge-state-historic-site,,,399.00,,,SC,33.055114,-81.095036,polygon_centroid,true,https://southcarolinaparks.com/park/rivers-bridge-state-historic-site,,,,,South Carolina state park. About 399 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
rose-hill-plantation-state-historic-site,42,Rose Hill Plantation State Historic Site,rose-hill-plantation-state-historic-site,,,41.00,,,SC,34.606090,-81.665373,polygon_centroid,true,https://southcarolinaparks.com/park/rose-hill-plantation-state-historic-site,,,,,South Carolina state park. About 41 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
sadlers-creek-state-park,43,Sadlers Creek State Park,sadlers-creek-state-park,,,398.00,,,SC,34.420416,-82.827837,polygon_centroid,true,https://southcarolinaparks.com/park/sadlers-creek-state-park,,,,,South Carolina state park. About 398 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
santee-state-park,44,Santee State Park,santee-state-park,,,2952.00,,,SC,33.522354,-80.486534,polygon_centroid,true,https://southcarolinaparks.com/park/santee-state-park,,,,,South Carolina state park. About 2952 acres. Access: public.,,,Snow Goose,,public,SCDNR South Carolina State Parks,2026-06-29
sesquicentennial-state-park,45,Sesquicentennial State Park,sesquicentennial-state-park,,,1392.00,,,SC,34.087996,-80.905260,polygon_centroid,true,https://southcarolinaparks.com/park/sesquicentennial-state-park,,,,,South Carolina state park. About 1392 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
st-phillips-island,55,St. Phillips Island,st-phillips-island,,,4849.00,,,SC,32.292298,-80.606019,polygon_centroid,true,https://southcarolinaparks.com/park/st-phillips-island,,,,,South Carolina state park. About 4849 acres. Access: public.,,,Blue Corporal | Pine Warbler, | ,public,SCDNR South Carolina State Parks,2026-06-29
table-rock-state-park,46,Table Rock State Park,table-rock-state-park,,,3056.00,,,SC,35.029366,-82.697070,polygon_centroid,true,https://southcarolinaparks.com/park/table-rock-state-park,,,,,South Carolina state park. About 3056 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
woods-bay-state-park,47,Woods Bay State Park,woods-bay-state-park,,,1683.00,,,SC,33.944162,-79.991904,polygon_centroid,true,https://southcarolinaparks.com/park/woods-bay-state-park,,,,,South Carolina state park. About 1683 acres. Access: public.,,,,,public,SCDNR South Carolina State Parks,2026-06-29
