park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
pinson-mounds-state-archaeological-park,73,Pinson Mounds State Archaeological Park,pinson-mounds-state-archaeological-park,,,1329.33,,,TN,35.498210,-88.689869,polygon_centroid,true,https://tnstateparks.com/parks/pinson-mounds-state-archaeological-park,,,,,Tennessee state park. About 1329 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
port-royal-state-historic-park,74,Port Royal State Historic Park,port-royal-state-historic-park,,,28.92,,,TN,36.553761,-87.141082,polygon_centroid,true,https://tnstateparks.com/parks/port-royal-state-historic-park,,,,,Tennessee state park. About 29 acres. Access: public.,,,Northern Zigzag Salamander | Northern Slimy Salamander | Gray Ratsnake, |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
radnor-lake-state-park,75,Radnor Lake State Park,radnor-lake-state-park,,,1368.59,,,TN,36.056510,-86.794877,polygon_centroid,true,https://tnstateparks.com/parks/radnor-lake-state-park,,,,,Tennessee state park. About 1369 acres. Access: public.,,,Cave Salamander | Carolina Satyr | Northern Zigzag Salamander | Eastern Chipmunk | Blackpoll Warbler | Blackburnian Warbler | Blue-faced Meadowhawk | Sachem, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
red-clay-state-historic-park,76,Red Clay State Historic Park,red-clay-state-historic-park,,,256.28,,,TN,34.992557,-84.943406,polygon_centroid,true,https://tnstateparks.com/parks/red-clay-state-historic-park,,,,,Tennessee state park. About 256 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
reelfoot-lake-state-park,77,Reelfoot Lake State Park,reelfoot-lake-state-park,,,12884.10,,,TN,36.425939,-89.362974,polygon_centroid,true,https://tnstateparks.com/parks/reelfoot-lake-state-park,,,,,Tennessee state park. About 12884 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
roan-mountain-state-park,78,Roan Mountain State Park,roan-mountain-state-park,,,2095.28,,,TN,36.172575,-82.091766,polygon_centroid,true,https://tnstateparks.com/parks/roan-mountain-state-park,,,,,Tennessee state park. About 2095 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
rock-island-state-park,79,Rock Island State Park,rock-island-state-park,,,957.42,,,TN,35.804586,-85.617709,polygon_centroid,true,https://tnstateparks.com/parks/rock-island-state-park,,,,,Tennessee state park. About 957 acres. Access: public.,broad beech fern,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
savage-gulf-state-park,104,Savage Gulf State Park,savage-gulf-state-park,,,18607.72,,,TN,35.436176,-85.619936,polygon_centroid,true,https://tnstateparks.com/parks/savage-gulf-state-park,,,,,Tennessee state park. About 18608 acres. Access: public.,,,Unicorn Clubtail | Common Box Turtle | Coral Hairstreak | Great Spangled Fritillary | Smooth Earth Snake | Common True Katydid | Northern Dusk Singing Cicada | Common Eastern Bumblebee, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
scotts-gulf-wilderness-state-park,106,Scotts Gulf Wilderness State Park,scotts-gulf-wilderness-state-park,,,8723.14,,,TN,35.854688,-85.322812,polygon_centroid,true,https://tnstateparks.com/parks/scotts-gulf-wilderness-state-park,,,,,Tennessee state park. About 8723 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
seven-islands-state-birding-park,81,Seven Islands State Birding Park,seven-islands-state-birding-park,,,416.24,,,TN,35.947759,-83.688663,polygon_centroid,true,https://tnstateparks.com/parks/seven-islands-state-birding-park,,,,,Tennessee state park. About 416 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
sgt-alvin-c-york-state-historic-park,82,Sgt. Alvin C. York State Historic Park,sgt-alvin-c-york-state-historic-park,,,345.92,,,TN,36.549268,-84.943876,polygon_centroid,true,https://tnstateparks.com/parks/sgt-alvin-c-york-state-historic-park,,,,,Tennessee state park. About 346 acres. Access: public.,,,Oval-based Prominent Moth | Red-footed Cannibalfly | Dimorphic Tosale Moth | Red-banded Leafroller | Trumpet Vine Moth | Showy Emerald | Aster Eucosma Moth | Smaller Parasa Moth, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
south-cumberland-state-park,84,South Cumberland State Park,south-cumberland-state-park,,,12115.20,,,TN,35.184794,-85.806154,polygon_centroid,true,https://tnstateparks.com/parks/south-cumberland-state-park,,,,,Tennessee state park. About 12115 acres. Access: public.,,,Unicorn Clubtail | Coral Hairstreak | Great Spangled Fritillary, |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
standing-stone-state-park,94,Standing Stone State Park,standing-stone-state-park,,,1058.01,,,TN,36.460343,-85.409122,polygon_centroid,true,https://tnstateparks.com/parks/standing-stone-state-park,,,,,Tennessee state park. About 1058 acres. Access: public.,,,Beautiful Wood-nymph,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
sycamore-shoals-state-historic-park,95,Sycamore Shoals State Historic Park,sycamore-shoals-state-historic-park,,,85.89,,,TN,36.341162,-82.242913,polygon_centroid,true,https://tnstateparks.com/parks/sycamore-shoals-state-historic-park,,,,,Tennessee state park. About 86 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
t-o-fuller-state-park,98,T.O. Fuller State Park,t-o-fuller-state-park,,,900.59,,,TN,35.061054,-90.108707,polygon_centroid,true,https://tnstateparks.com/parks/t-o-fuller-state-park,,,,,Tennessee state park. About 901 acres. Access: public.,resurrection fern | broad beech fern | green-headed coneflower, |  | ,Acadian Flycatcher | Worm-eating Warbler | Restless Bush Cricket | Eastern Hornet Fly | Cerulean Warbler | Speckled Sharpshooter | Florida Predatory Stink Bug | Red-banded Leafroller, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
tims-ford-state-park,99,Tims Ford State Park,tims-ford-state-park,,,2961.77,,,TN,35.221215,-86.257547,polygon_centroid,true,https://tnstateparks.com/parks/tims-ford-state-park,,,,,Tennessee state park. About 2962 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
warriors-path-state-park,100,Warriors' Path State Park,warriors-path-state-park,,,1054.54,,,TN,36.493835,-82.480905,polygon_centroid,true,https://tnstateparks.com/parks/warriors-path-state-park,,,,,Tennessee state park. About 1055 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
